YearsExperience,Salary
0.5,32438
0.6,29910
0.7,32881
0.9,36552
1.0,33009
1.3,34536
1.5,38647
1.5,36535
1.7,39524
1.8,33283
1.8,41513
1.9,41771
1.9,37116
1.9,31518
2.4,37249
2.7,41175
2.8,42376
3.0,46227
3.3,41946
3.3,44675
3.4,44380
3.5,51777
3.6,55323
3.7,50789
3.7,44953
3.7,49016
3.8,50704
4.1,53252
4.1,58444
4.1,55905
4.3,51604
4.4,58863
4.4,53123
4.5,56356
4.5,55913
4.7,56565
4.8,53318
5.1,57782
5.4,57549
6.0,60927
6.0,63596
6.2,68793
6.3,66974
6.3,60946
6.6,68716
6.6,67336
6.8,66082
6.9,66183
7.1,75901
7.3,71692
7.4,68087
7.4,72071
7.5,70765
7.8,73358
7.8,76249
7.9,85356
8.2,73611
8.3,79015
8.3,70443
8.4,81011
8.5,76176
8.5,89401
8.6,76929
8.8,84455
8.9,74232
9.3,79190
9.6,83292
9.7,81127
9.8,86673
9.9,95028
10.2,87211
10.4,83759
10.7,91264
11.1,87198
11.1,95283
11.1,86383
11.2,88317
11.6,87907
12.0,94881
12.2,96078
12.5,93631
12.6,103462
12.7,100261
12.8,95352
13.0,99805
13.0,103829
13.0,99744
13.1,109014
13.2,100580
13.2,104073
13.2,104000
13.2,101754
13.5,108874
13.6,102948
13.8,103246
14.0,107620
14.2,110495
14.4,108401
14.8,108553
14.9,102788
